nThreads,exec_time_ms
4,2497.0
6,2095.0
7,1811.0
7,1813.0
6,1977.0
5,2096.0
7,1859.0
7,1872.0
6,2052.0
1,9274.0
8,1296.0
5,2073.0
8,1275.0
4,2524.0
1,9900.0
7,1493.0
5,2051.0
2,5091.0
8,1281.0
5,2022.0
7,1465.0
4,2473.0
1,9513.0
6,1828.0
5,2027.0
8,1392.0
7,1452.0
8,1631.0
4,2592.0
7,1661.0
6,1712.0
3,3173.0
4,2361.0
1,9456.0
2,4840.0
5,2167.0
3,3260.0
6,1765.0
8,1348.0
1,9647.0
2,5192.0
7,1476.0
4,2357.0
3,3369.0
5,2014.0
3,3220.0
4,2776.0
8,1608.0
5,1899.0
7,1447.0
8,1380.0
6,1574.0
8,1306.0
5,1866.0
6,1673.0
4,2375.0
2,4982.0
6,1558.0
3,3200.0
7,1401.0
3,3474.0
8,1269.0
5,2060.0
6,1569.0
8,1609.0
7,1467.0
2,4968.0
5,1932.0
8,1303.0
5,1885.0
4,2606.0
1,9764.0
6,1712.0
3,3264.0
7,1810.0
2,5104.0
6,1725.0
4,2425.0
5,1883.0
4,2531.0
8,1318.0
6,1681.0
4,2356.0
3,3134.0
1,9814.0
8,1340.0
6,1702.0
7,1456.0
5,1879.0
2,4993.0
6,2165.0
4,2614.0
8,1616.0
5,2137.0
3,3374.0
7,1599.0
3,3469.0
6,1668.0
6,1940.0
8,1605.0
7,1508.0
4,2515.0
3,3252.0
4,2476.0
6,1802.0
8,1472.0
2,4911.0
5,1983.0
8,1269.0
4,2373.0
5,2219.0
6,2126.0
7,1444.0
6,1601.0
4,2359.0
8,1531.0
7,1433.0
8,1372.0
3,3354.0
1,9583.0
4,2573.0
6,1735.0
1,9331.0
8,1639.0
5,1958.0
3,3385.0
7,1432.0
2,5022.0
6,1602.0
4,2608.0
8,1292.0
2,5059.0
3,3340.0
5,2053.0
1,9292.0
8,1377.0
6,1912.0
3,3494.0
8,1647.0
1,9519.0
6,1731.0
7,1855.0
5,2411.0
7,1717.0
5,2166.0
3,3366.0
6,1587.0
4,2429.0
4,2345.0
7,1482.0
8,1273.0
5,2052.0
3,3399.0
3,3097.0
2,4679.0
5,2069.0
6,2133.0
7,1649.0
1,9765.0
6,1813.0
