THRESHOLD,nThreads,exec_time_ms
100,4,16981.0
5000,5,8613.0
11000,3,8504.0
100,8,15913.0
5000,4,9153.0
100,4,16922.0
11000,8,8330.0
5000,8,9347.0
11000,8,8505.0
100,5,16826.0
11000,5,8515.0
100,2,16142.0
1000,4,10331.0
5000,2,9142.0
5000,1,8829.0
5000,2,9368.0
11000,4,8553.0
11000,1,7985.0
11000,6,7944.0
5000,6,9296.0
1000,6,10432.0
1000,5,11444.0
11000,2,8010.0
1000,6,10641.0
1000,1,11285.0
5000,4,8547.0
11000,8,8648.0
100,2,15539.0
5000,8,9599.0
100,5,16195.0
11000,5,8515.0
100,2,16156.0
100,6,17064.0
1000,4,10623.0
5000,2,9152.0
5000,1,8731.0
11000,4,8084.0
5000,2,9392.0
11000,1,8407.0
11000,6,8015.0
5000,6,8696.0
1000,1,11154.0
1000,5,10830.0
1000,6,11529.0
1000,2,10523.0
11000,7,8623.0
1000,8,10522.0
11000,1,8407.0
1000,3,10338.0
11000,8,7996.0
100,3,17054.0
11000,8,8209.0
11000,4,8576.0
100,6,16003.0
11000,5,7905.0
5000,6,9285.0
1000,5,11171.0
5000,2,8856.0
1000,6,10716.0
1000,5,11307.0
100,2,16970.0
1000,8,10478.0
5000,4,9277.0
100,4,15752.0
5000,5,9413.0
1000,4,10604.0
11000,7,8534.0
11000,1,7744.0
100,5,17128.0
100,4,15990.0
11000,4,7879.0
100,3,16080.0
11000,4,8301.0
11000,8,8751.0
1000,3,11246.0
11000,3,8100.0
11000,5,8523.0
1000,5,10581.0
1000,6,10758.0
5000,2,9339.0
1000,5,10967.0
5000,6,9369.0
11000,6,8226.0
5000,4,9185.0
1000,8,10580.0
5000,5,8861.0
1000,7,10788.0
100,4,17121.0
100,1,15959.0
100,5,17197.0
5000,4,9237.0
1000,7,10492.0
11000,6,8547.0
