Network depth(11),batch size(13),Real Iterations Number(15),CPU threads(19),overall execution time(31)
1,64,1221,2,425.563983917236
1,64,1201,2,425.563983917236
1,64,1221,4,229.205890417099
1,64,1201,4,229.205890417099
1,128,611,2,422.522394895554
1,128,591,2,422.522394895554
1,128,611,4,237.163336753845
1,128,591,4,237.163336753845
1,256,311,2,435.47459602356
1,256,291,2,435.47459602356
1,256,311,4,255.270525932312
1,256,291,4,255.270525932312
1,512,161,2,448.375573396683
1,512,141,2,448.375573396683
1,512,161,4,264.85778427124
1,512,141,4,264.85778427124
2,64,1221,2,420.700072526932
2,64,1201,2,420.700072526932
2,64,1221,4,230.396158456802
2,64,1201,4,230.396158456802
2,128,611,2,423.503358602524
2,128,591,2,423.503358602524
2,128,611,4,238.611657857895
2,128,591,4,238.611657857895
2,256,311,2,435.198324680328
2,256,291,2,435.198324680328
2,256,311,4,257.551445484161
2,256,291,4,257.551445484161
2,512,161,2,446.905160427094
2,512,141,2,446.905160427094
2,512,161,4,266.880045413971
2,512,141,4,266.880045413971
3,64,1221,2,422.334589958191
3,64,1201,2,422.334589958191
3,64,1221,4,231.044739961624
3,64,1201,4,231.044739961624
3,128,611,2,424.699214696884
3,128,591,2,424.699214696884
3,128,611,4,239.084559202194
3,128,591,4,239.084559202194
3,256,311,2,436.562433719635
3,256,291,2,436.562433719635
3,256,311,4,258.162309646606
3,256,291,4,258.162309646606
3,512,161,2,447.82933306694
3,512,141,2,447.82933306694
3,512,161,4,265.835315704346
3,512,141,4,265.835315704346
4,64,1221,2,423.187289953232
4,64,1201,2,423.187289953232
4,64,1221,4,231.264049530029
4,64,1201,4,231.264049530029
4,128,611,2,424.898936033249
4,128,591,2,424.898936033249
4,128,611,4,240.10718536377
4,128,591,4,240.10718536377
4,256,311,2,435.85977768898
4,256,291,2,435.85977768898
4,256,311,4,257.452741861343
4,256,291,4,257.452741861343
4,512,161,2,451.372684955597
4,512,141,2,451.372684955597
4,512,161,4,267.026358604431
4,512,141,4,267.026358604431
5,64,1221,2,423.266230583191
5,64,1201,2,423.266230583191
5,64,1221,4,232.244722366333
5,64,1201,4,232.244722366333
5,128,611,2,423.691073417664
5,128,591,2,423.691073417664
5,128,611,4,238.998698949814
5,128,591,4,238.998698949814
5,256,311,2,437.155632257462
5,256,291,2,437.155632257462
5,256,311,4,259.95521235466
5,256,291,4,259.95521235466
5,512,161,2,450.465399503708
5,512,141,2,450.465399503708
5,512,161,4,267.597851753235
5,512,141,4,267.597851753235
6,64,1221,2,424.460093259811
6,64,1201,2,424.460093259811
6,64,1221,4,233.765820026398
6,64,1201,4,233.765820026398
6,128,611,2,424.95902967453
6,128,591,2,424.95902967453
6,128,611,4,239.837769269943
6,128,591,4,239.837769269943
6,256,311,2,439.212222099304
6,256,291,2,439.212222099304
6,256,311,4,258.542475938797
6,256,291,4,258.542475938797
6,512,161,2,451.40816617012
6,512,141,2,451.40816617012
6,512,161,4,269.876018047333
6,512,141,4,269.876018047333
7,64,1221,2,425.206958532333
7,64,1201,2,425.206958532333
7,64,1221,4,234.588377475738
7,64,1201,4,234.588377475738
7,128,611,2,425.375730514526
7,128,591,2,425.375730514526
7,128,611,4,240.235509157181
7,128,591,4,240.235509157181
7,256,311,2,438.463851213455
7,256,291,2,438.463851213455
7,256,311,4,260.579744338989
7,256,291,4,260.579744338989
7,512,161,2,451.114536762238
7,512,141,2,451.114536762238
7,512,161,4,268.642989635468
7,512,141,4,268.642989635468
8,64,1221,2,427.141335487366
8,64,1201,2,427.141335487366
8,64,1221,4,235.487579584122
8,64,1201,4,235.487579584122
8,128,611,2,426.795636415482
8,128,591,2,426.795636415482
8,128,611,4,241.777280330658
8,128,591,4,241.777280330658
8,256,311,2,438.939212322235
8,256,291,2,438.939212322235
8,256,311,4,261.539745330811
8,256,291,4,261.539745330811
8,512,161,2,451.894994497299
8,512,141,2,451.894994497299
8,512,161,4,271.968242168426
8,512,141,4,271.968242168426
9,64,1221,2,426.585691690445
9,64,1201,2,426.585691690445
9,64,1221,4,235.541134357452
9,64,1201,4,235.541134357452
9,128,611,2,426.161515712738
9,128,591,2,426.161515712738
9,128,611,4,241.638185501099
9,128,591,4,241.638185501099
9,256,311,2,439.546171665192
9,256,291,2,439.546171665192
9,256,311,4,260.387759923935
9,256,291,4,260.387759923935
9,512,161,2,454.856933832169
9,512,141,2,454.856933832169
9,512,161,4,269.880167007446
9,512,141,4,269.880167007446
10,64,1221,2,426.994634389877
10,64,1201,2,426.994634389877
10,64,1221,4,235.730661392212
10,64,1201,4,235.730661392212
10,128,611,2,426.807921409607
10,128,591,2,426.807921409607
10,128,611,4,242.822741270065
10,128,591,4,242.822741270065
10,256,311,2,438.906021356583
10,256,291,2,438.906021356583
10,256,311,4,261.278091669083
10,256,291,4,261.278091669083
10,512,161,2,454.940831899643
10,512,141,2,454.940831899643
10,512,161,4,270.087658166885
10,512,141,4,270.087658166885
